Extracted:,"United Nations High Commissioner for Refugees"
"Date extracted:","12/11/2021 09:33 UTC"
"Last updated:","10 November 2021"
"Some data presented may differ from statistics published previously due to retroactive changes or the inclusion of previously unavailable data."

"Data table contains the following:","Population figures"
"Content type","End year stock population totals"
"Data quick link",https://www.unhcr.org/refugee-statistics/download/?url=S7uCAi
"Data definitions",https://www.unhcr.org/refugee-statistics/methodology/
"Usage licence",https://creativecommons.org/licenses/by/4.0/
"Population types included","REF,ROC,ASY,IDP,IOC,VDA,OOC,STA"
Years:,"2021,2021"
Origin:,all
"Country of asylum:",all
Year,"Country of origin","Country of origin (ISO)","Country of asylum","Country of asylum (ISO)","Refugees under UNHCR's mandate",Asylum-seekers,"IDPs of concern to UNHCR","Venezuelans displaced abroad","Stateless persons","Others of concern"
2021,Afghanistan,AFG,"Saudi Arabia",SAU,0,61,0,,0,0
2021,Afghanistan,AFG,Spain,ESP,495,190,0,,0,0
2021,Afghanistan,AFG,"Serbia and Kosovo: S/RES/1244 (1999)",SRB,28,5,0,,0,1409
2021,Afghanistan,AFG,Sudan,SDN,0,0,0,,0,5
2021,Afghanistan,AFG,Slovakia,SVK,301,0,0,,0,0
2021,Afghanistan,AFG,Slovenia,SVN,59,112,0,,0,0
2021,Afghanistan,AFG,Sweden,SWE,28744,1241,0,,0,0
2021,Afghanistan,AFG,Switzerland,CHE,14649,832,0,,0,0
2021,Afghanistan,AFG,"Syrian Arab Rep.",SYR,1124,31,0,,0,0
2021,Afghanistan,AFG,Thailand,THA,172,5,0,,0,0
2021,Afghanistan,AFG,Tajikistan,TJK,6775,2519,0,,0,0
2021,Afghanistan,AFG,Turkmenistan,TKM,14,0,0,,0,0
2021,Afghanistan,AFG,Turkey,TUR,4219,125104,0,,0,0
2021,Afghanistan,AFG,"United Arab Emirates",ARE,5,25,0,,0,0
2021,Afghanistan,AFG,Ukraine,UKR,845,708,0,,0,0
2021,Afghanistan,AFG,Uruguay,URY,5,6,0,,0,0
2021,Afghanistan,AFG,"United States of America",USA,1574,1077,0,,0,0
2021,Afghanistan,AFG,Uzbekistan,UZB,13,0,0,,0,0
2021,Afghanistan,AFG,"Venezuela (Bolivarian Republic of)",VEN,10,0,0,,0,0
2021,Anguilla,AIA,Peru,PER,0,5,0,,0,0
2021,Albania,ALB,Argentina,ARG,18,0,0,,0,0
2021,Albania,ALB,Australia,AUS,41,99,0,,0,0
2021,Albania,ALB,Austria,AUT,55,10,0,,0,0
2021,Albania,ALB,Belgium,BEL,632,242,0,,0,0
2021,Albania,ALB,Brazil,BRA,0,7,0,,0,0
2021,Albania,ALB,Canada,CAN,779,284,0,,0,0
2021,Albania,ALB,Cyprus,CYP,0,5,0,,0,0
2021,Albania,ALB,Denmark,DNK,0,5,0,,0,0
2021,Albania,ALB,Ecuador,ECU,6,0,0,,0,0
2021,Albania,ALB,Finland,FIN,5,6,0,,0,0
2021,Albania,ALB,France,FRA,6462,496,0,,0,0
2021,Albania,ALB,"United Kingdom of Great Britain and Northern Ireland",GBR,3939,9758,0,,0,0
2021,Albania,ALB,Germany,DEU,1283,1140,0,,0,0
2021,Albania,ALB,Greece,GRC,177,1604,0,,0,0
2021,Albania,ALB,Hungary,HUN,5,0,0,,0,0
2021,Albania,ALB,Iceland,ISL,5,0,0,,0,0
2021,Albania,ALB,Ireland,IRL,199,451,0,,0,0
2021,Albania,ALB,Israel,ISR,0,16,0,,0,0
2021,Albania,ALB,Italy,ITA,693,377,0,,0,0
2021,Albania,ALB,Luxembourg,LUX,38,5,0,,0,0
2021,Albania,ALB,Mexico,MEX,8,0,0,,0,0
2021,Albania,ALB,Netherlands,NLD,7,6,0,,0,0
2021,Albania,ALB,Norway,NOR,18,5,0,,0,0
2021,Albania,ALB,Spain,ESP,5,135,0,,0,0
2021,Albania,ALB,Sweden,SWE,300,183,0,,0,0
2021,Albania,ALB,Switzerland,CHE,113,35,0,,0,0
2021,Albania,ALB,"United States of America",USA,1254,2890,0,,0,0
2021,Algeria,DZA,Argentina,ARG,30,23,0,,0,0
2021,Algeria,DZA,Australia,AUS,8,27,0,,0,0
2021,Algeria,DZA,Austria,AUT,30,101,0,,0,0
2021,Algeria,DZA,Belgium,BEL,74,180,0,,0,0
2021,Algeria,DZA,Brazil,BRA,8,36,0,,0,0
2021,Algeria,DZA,"Bosnia and Herzegovina",BIH,0,5,0,,0,44
2021,Algeria,DZA,Bulgaria,BGR,0,14,0,,0,0
2021,Algeria,DZA,Canada,CAN,832,717,0,,0,0
2021,Algeria,DZA,Cyprus,CYP,8,5,0,,0,0
2021,Algeria,DZA,Denmark,DNK,0,5,0,,0,0
2021,Algeria,DZA,Finland,FIN,8,11,0,,0,0
2021,Algeria,DZA,France,FRA,2234,467,0,,0,0
2021,Algeria,DZA,"United Kingdom of Great Britain and Northern Ireland",GBR,334,409,0,,0,0
2021,Algeria,DZA,Georgia,GEO,0,5,0,,0,0
2021,Algeria,DZA,Germany,DEU,626,1047,0,,0,0
2021,Algeria,DZA,Greece,GRC,121,254,0,,0,0
2021,Algeria,DZA,Croatia,HRV,0,5,0,,0,0
2021,Algeria,DZA,Hungary,HUN,14,0,0,,0,0
2021,Algeria,DZA,Ireland,IRL,65,217,0,,0,0
2021,Algeria,DZA,Italy,ITA,10,133,0,,0,0
2021,Algeria,DZA,Jordan,JOR,0,6,0,,0,0
2021,Algeria,DZA,"Rep. of Korea",KOR,6,84,0,,0,0
2021,Algeria,DZA,Lebanon,LBN,6,6,0,,0,9
2021,Algeria,DZA,Luxembourg,LUX,0,15,0,,0,0
2021,Algeria,DZA,Mexico,MEX,5,5,0,,0,0
2021,Algeria,DZA,Malaysia,MYS,5,8,0,,0,0
2021,Algeria,DZA,Montenegro,MNE,0,5,0,,0,0
2021,Algeria,DZA,Morocco,MAR,9,13,0,,0,0
2021,Algeria,DZA,Malta,MLT,0,16,0,,0,0
2021,Algeria,DZA,Netherlands,NLD,17,178,0,,0,0
2021,Algeria,DZA,Norway,NOR,5,0,0,,0,0
2021,Algeria,DZA,Pakistan,PAK,22,0,0,,0,0
2021,Algeria,DZA,Poland,POL,0,5,0,,0,0
2021,Algeria,DZA,Portugal,PRT,0,5,0,,0,0
2021,Algeria,DZA,Romania,ROU,0,29,0,,0,0
2021,Algeria,DZA,"South Africa",ZAF,5,198,0,,0,0
2021,Algeria,DZA,Spain,ESP,93,1215,0,,0,0
2021,Algeria,DZA,"Serbia and Kosovo: S/RES/1244 (1999)",SRB,0,12,0,,0,0
2021,Algeria,DZA,Slovakia,SVK,0,8,0,,0,0
2021,Algeria,DZA,Slovenia,SVN,0,5,0,,0,0
2021,Algeria,DZA,Sweden,SWE,58,62,0,,0,0
2021,Algeria,DZA,Switzerland,CHE,173,136,0,,0,0
2021,Algeria,DZA,"Syrian Arab Rep.",SYR,5,0,0,,0,0
2021,Algeria,DZA,Tunisia,TUN,10,18,0,,0,0
2021,Algeria,DZA,"United Arab Emirates",ARE,0,0,0,,0,5
2021,Algeria,DZA,Ukraine,UKR,0,11,0,,0,0
2021,Algeria,DZA,"United States of America",USA,149,553,0,,0,0
2021,Andorra,AND,Brazil,BRA,0,5,0,,0,0
2021,Angola,AGO,Angola,AGO,0,0,0,,0,142
2021,Angola,AGO,Argentina,ARG,14,15,0,,0,0
2021,Angola,AGO,Austria,AUT,43,5,0,,0,0
2021,Angola,AGO,Belgium,BEL,90,277,0,,0,0
